ID,country_group,lead type ,lead type,User_grade2,Custom_link ,User_type2,Age of lead,Win/Loss
91,United States,Phone,Phone,B7,0,A,99,0
92,India,Phone,Phone,B7,0,A,-179,0
93,United States,Phone,Phone,B7,0,A,5,0
94,United States,blog,BS,B7,0,A,10,0
95,India,Phone,Phone,B7,0,A,1,0
96,ROW,Dir,HS,B1,0,B,10,0
97,ROW,Dir,EN,B7,0,A,10,0
98,ROW,blog,BS,B7,0,A,10,0
99,India,www.youtube.com,TR,B5,0,B,10,0
100,India,www.youtube.com,TR,B5,0,A,10,0
101,India,blog,BS,B1,0,A,2,0
102,ROW,Dir,TR,B5,0,B,10,0
103,ROW,google-search,IN,B5,0,B,10,0
104,India,blog,BS,B3,0,A,3,0
105,United States,Phone,Phone,B7,0,A,18,0
106,India,Dir,HS,B7,0,A,0,0
107,India,www.bing.com,TR,B3,0,A,10,0
108,India,www.google.co.in,TR,B4,0,B,8,0
109,India,www.google.co.in,HS,B7,0,A,10,0
110,India,Dir,TR,B1,0,A,8,0
111,India,google-search,HS,B7,0,A,141,0
112,India,Dir,TR,B2,0,A,15,0
113,India,blog,BS,B7,0,A,4,0
114,ROW,www.google.nl,TR,B1,0,A,5,0
115,United States,www.youtube.com,HS,B7,0,A,12,0
116,India,Dir,IN,B2,0,A,44,0
117,India,www.youtube.com,HS,B1,0,A,17,0
118,United States,email,UP,B7,0,A,-54,0
119,United States,Phone,Phone,B7,0,A,1,0
120,India,Dir,EN,B7,0,A,36,0
121,United States,Phone,UP,B7,0,A,1,0
122,United States,Phone,Phone,B7,0,A,7,0
123,ROW,Phone,Phone,B7,0,A,11,0
124,India,Dir,TR,B2,0,A,10,0
125,India,www.google.co.in,HS,B7,0,A,10,0
126,India,blog,BS,B7,0,A,10,0
127,India,blog,BS,B3,0,A,5,0
128,India,intercom-intercom,Intercom,B7,0,A,10,0
129,India,www.google.co.in,TR,B4,0,A,5,0
130,India,Dir,TR,B4,0,A,3,0
131,ROW,blog,BS,B7,0,B,10,0
132,ROW,intercom-intercom,Intercom,B7,0,A,10,0
133,India,android-app,TR,B4,0,B,10,0
134,India,Dir,TR,B2,0,A,10,0
135,India,google-search,HS,B3,0,A,10,0
136,India,Dir,HS,B1,0,A,10,0
137,India,Dir,GC,B7,0,A,5,0
138,India,Dir,EN,B1,0,A,10,0
139,India,www.google.co.in,HS,B7,0,A,125,0
140,India,www.youtube.com,TR,B7,0,A,23,0
141,India,google-search,EN,B7,0,A,1,0
142,India,Outbound Calls,UP,B1,0,B,4,0
143,India,google-search,TR,B7,0,A,10,0
144,India,www.google.com,HS,B7,0,A,10,0
145,India,Phone,UP,B7,0,B,11,1
146,India,android-app,Like,B5,0,B,10,0
147,India,android-app,TR,B6,0,B,10,0
148,India,lms-intercom,Blank,B7,0,A,12,0
149,India,www.google.com,TR,B6,0,B,10,0
150,United States,Phone,Phone,B7,0,A,3,0
151,United States,Phone,Phone,B7,0,A,86,0
152,India,Custom Payment Link,Phone,B5,1,A,0,1
153,India,www.google.co.in,GC,B7,0,A,10,0
154,India,Dir,HS,B7,0,B,7,0
155,India,Dir,NA,B7,0,A,33,0
156,India,intercom-intercom,Intercom,B7,0,A,10,0
157,India,Dir,TR,B1,0,A,13,0
158,ROW,blog,BS,B7,0,A,10,0
159,India,Outbound Calls,UP,B7,0,B,4,0
160,India,www.youtube.com,GC,B7,0,A,10,0
161,India,google-search,HS,B7,0,A,133,0
162,India,Dir,TR,B4,0,B,6,0
163,India,google-search,TR,B4,0,A,10,0
164,India,Dir,TR,B1,0,A,10,0
165,United States,Dir,TR,B4,0,A,22,0
166,India,Dir,TR,B7,0,A,95,0
167,India,Phone,UP,B5,0,B,44,0
168,India,google-search,IN,B4,0,A,4,0
169,India,Dir,EN,B1,1,C,1,1
170,United States,Direct,TR,B7,0,C,32,0
171,United States,www.google.com,TR,B7,0,C,10,0
172,United States,www.google.com,HS,B7,0,C,10,0
173,United States,Direct,TR,B7,0,C,10,0
174,United States,google-search,TR,B7,1,C,10,1
175,United States,google-search,GC,B7,0,C,4,0
176,United States,Direct,TR,B7,0,C,10,0
177,United States,Direct,HS,B7,0,C,10,0
178,United States,Direct,TR,B7,0,C,10,0
179,United States,Direct,TR,B7,0,C,10,0
180,United States,www.google.com,TR,B7,0,C,10,0
181,United States,www.google.com,TR,B7,0,C,10,0
182,United States,Direct,TR,B7,0,C,10,0
183,United States,Direct,TR,B7,0,C,13,0
184,United States,www.google.com,TR,B7,0,C,10,0
185,United States,Direct,TR,B7,0,C,10,0
186,United States,intercom-intercom,Intercom,B7,0,C,10,0
187,United States,Direct,TR,B7,0,C,10,0
188,United States,Direct,TR,B7,0,C,10,0
189,United States,google-search,TR,B7,0,C,-12,0
190,United States,Direct,TR,B7,0,C,10,0
191,United States,google-search,TR,B1,0,B,10,0
192,United States,google-search,HS,B1,0,A,22,0
193,India,Phone,UP,B7,0,A,53,0
194,India,bing,IN,B7,0,B,1,0
195,India,email,TR,B7,0,A,35,0
196,India,Dir,TR,B1,0,A,10,0
197,India,Dir,TR,B6,0,B,7,0
198,India,www.google.co.in,TR,B3,0,A,10,0
199,United States,blog,BS,B7,0,A,10,0
200,India,Direct,EN,B5,1,C,43,0
201,India,Phone,Phone,B7,1,C,2,1
202,India,Dir,IN,B5,1,C,1,1
203,India,Dir,GC,B7,0,A,19,0
204,India,www.youtube.com,IN,B3,0,A,10,0
205,India,email,EN,B7,0,B,10,0
206,India,google-search,TR,B7,0,A,10,0
207,India,www.google.co.in,EN,B7,0,B,3,0
208,India,www.google.co.in,EN,B4,0,A,0,1
209,India,Dir,TR,B6,0,B,10,0
210,India,www.google.co.in,HS,B5,0,B,3,0
211,India,Dir,TR,B6,0,B,10,0
212,India,google-search,HS,B7,0,A,61,0
213,India,google-search,HS,B7,0,A,123,0
214,United States,Dir,TR,B4,0,A,4,0
215,India,iPhone-app,TR,B7,0,B,-22,0
216,ROW,app,HS,B7,0,A,9,0
217,India,iPhone-app,TR,B7,0,B,10,0
218,India,iPhone-app,TR,B7,0,B,10,0
219,ROW,Dir,EN,B7,0,A,9,0
220,India,bing,TR,B7,0,A,10,0
221,ROW,youtube,HS,B3,0,A,13,0
222,India,www.google.co.in,EN,B3,0,A,7,0
223,India,Referral_Program,HS,B7,0,A,101,0
224,India,bing,TR,B7,0,A,14,0
225,India,Dir,TR,B7,0,B,1,0
226,India,Dir,HS,B7,0,A,13,0
227,India,intercom-intercom,Intercom,B7,0,B,10,0
228,ROW,Direct,TR,B1,0,A,4,0
229,United States,bing,EN,B6,1,A,0,1
230,United States,Direct,HS,B4,0,A,10,0
231,United States,hs_email,TR,B7,0,B,4,0
232,India,www.youtube.com,GC,B7,0,A,19,0
233,India,Direct,TR,B2,0,A,18,0
234,ROW,direct sales-NityoIN,Affiliate,B7,0,B,43,0
235,ROW,NityoIN,Blank,B7,0,A,43,0
236,India,blog,BS,B7,0,A,10,0
237,India,google-search,HS,B3,0,A,10,0
238,India,Phone,Phone,B1,0,B,1,0
239,United States,Phone,Phone,B7,1,A,2,1
240,United States,www.google.com,TR,B1,0,A,21,0
241,India,Dir,TR,B5,0,A,2,0
242,United States,Direct,TR,B7,0,C,10,0
243,India,www.youtube.com,TR,B7,0,A,5,0
244,ROW,blog,BS,B7,0,A,18,0
245,ROW,google-dis,TR,B3,0,A,4,0
246,India,Dir,IN,B7,0,A,3,0
247,India,Dir,TR,B7,0,A,10,0
248,India,www.google.co.in,TR,B3,0,A,10,0
249,India,www.google.co.in,HS,B7,0,A,4,0
250,India,google-search,TR,B6,0,B,10,0
251,India,www.google.co.in,TR,B5,0,B,4,0
252,India,com.google.android.gm,GC,B6,0,A,10,0
253,ROW,Dir,IN,B6,1,B,0,1
254,India,Dir,IN,B6,0,C,1,1
255,India,Dir,EN,B3,0,A,8,0
256,India,blog,BS,B3,0,A,10,0
257,India,google-search,IN,B3,0,A,16,0
258,India,Phone,Phone,B7,0,A,10,0
259,ROW,Dir,HS,B7,0,A,1,0
260,India,www.google.co.in,TR,B2,0,A,10,0
261,India,Dir,HS,B7,1,A,67,1
262,India,blog,BS,B5,0,A,10,0
263,United States,Dir,TR,B1,0,A,10,0
264,India,google-search,TR,B6,0,B,7,0
265,India,google-search,TR,B6,0,B,10,0
266,India,android-app,EN,B4,0,B,10,0
267,India,google-dis,TR,B4,0,A,10,0
268,United States,Dir,HS,B1,0,A,10,0
269,ROW,NityoIN,Blank,B7,0,A,29,0
270,ROW,direct sales-NityoIN,Affiliate,B7,0,B,29,0
271,India,www.google.co.in,TR,B1,0,A,5,0
272,India,Dir,GC,B7,0,A,1,0
273,India,google-search,HS,B3,0,C,10,0
274,India,Dir,EN,B6,0,C,26,0
275,India,www.google.com,TR,B5,0,C,10,0
276,India,www.google.co.in,HS,B7,0,A,73,0
277,India,www.google.co.in,GC,B7,0,A,10,0
278,India,bing,TR,B7,0,A,19,0
279,India,blog,BS,B7,0,A,35,0
280,India,www.google.co.in,EN,B5,0,A,30,0
281,India,google-search,HS,B7,0,A,10,0
282,India,Dir,TR,B7,0,A,2,0
283,India,www.google.co.in,TR,B1,0,A,10,0
284,India,Dir,TR,B7,0,A,10,0
285,India,blog,BS,B1,0,A,10,0
286,United States,Phone,Phone,B7,0,A,14,0
287,ROW,www.youtube.com,TR,B7,0,A,10,0
288,India,Phone,Phone,B7,0,A,49,0
289,India,www.google.co.in,TR,B7,0,A,10,0
290,India,bing,TR,B3,0,B,34,0
291,India,Facebook,TR,B7,0,B,10,0
292,India,Phone,Phone,B7,0,A,1,0
293,India,Dir,EN,B5,0,A,35,0
294,India,Dir,EN,B5,0,B,4,0
295,United States,Direct,Like,B7,0,C,0,1
296,United States,Direct,Like,B7,0,C,0,1
297,United States,Dir,HS,B7,0,A,123,0
298,India,Phone,Phone,B7,0,A,43,0
299,United States,Corporate,UP,B7,0,A,0,0
300,ROW,Referral,HS,B7,0,A,129,0
301,ROW,google-search,TR,B5,0,A,15,0
302,United States,google-search,TR,B7,0,B,15,0
303,United States,google-search,EN,B7,0,B,11,0
304,United States,google-search,EN,B7,0,A,11,0
305,India,Dir,HS,B7,0,B,16,0
306,United States,hs_email,TR,B1,0,A,10,0
307,India,blog,BS,B7,0,A,10,0
308,India,Dir,TR,B7,0,B,25,0
309,India,www.ridiculouslycommitted.com,EN,B7,0,A,10,0
310,India,www.google.co.in,EN,B6,0,B,5,0
311,India,Direct,EN,B5,0,B,15,0
312,India,www.google.co.in,EN,B6,0,B,5,0
313,India,Direct,TR,B5,0,A,10,0
314,India,blog,BS,B7,0,A,10,0
315,United States,www.google.com,IN,B7,0,A,2,0
316,United States,google-search,HS,B7,0,A,22,0
317,ROW,Phone,UP,B7,0,A,10,0
318,India,www.youtube.com,HS,B7,0,A,10,0
319,India,intercom-intercom,Intercom,B7,0,A,10,0
320,India,google-search,GC,B7,0,A,10,0
321,United States,Dir,HS,B2,0,A,1,0
322,United States,android-app,Like,B2,0,B,10,0
323,United States,youtube.com,HS,B2,0,A,10,0
324,United States,android-app,Like,B2,0,B,24,0
325,India,android-app,TR,B5,0,A,10,0
326,ROW,blog,BS,B7,0,A,5,0
327,India,Dir,TR,B7,0,A,3,0
328,India,Phone,Phone,B7,0,A,5,0
329,ROW,blog,BS,B7,0,A,0,0
330,United States,Dir,TR,B4,0,A,17,0
331,United States,Dir,IN,B7,0,A,10,0
332,India,Dir,TR,B7,0,A,10,0
333,India,com.google.android.gm,TR,B1,0,A,6,0
334,India,Dir,HS,B2,0,A,10,0
335,India,google-search,IN,B4,0,A,4,0
336,India,google-dis,EN,B5,0,A,10,0
337,India,www.bing.com,HS,B7,0,A,37,0
338,ROW,www.google.ca,IN,B4,0,A,13,0
339,India,Dir,TR,B7,0,A,6,0
340,ROW,www.google.co.uk,HS,B4,0,A,3,0
341,India,bing,EN,B7,0,A,34,0
342,India,Dir,TR,B4,0,A,4,0
343,India,www.google.co.in,TR,B7,0,A,6,0
344,ROW,www.quora.com,IN,B7,0,A,2,0
345,India,Dir,HS,B7,0,A,10,0
346,ROW,Referral,HS,B7,0,A,129,0
347,India,Dir,EN,B6,0,C,0,1
348,ROW,Direct,EN,B6,1,C,2,1
349,ROW,www.google.com.sg,HS,B6,0,C,10,0
350,India,Direct,EN,B6,1,C,8,1
351,United States,www.google.com,EN,B6,0,C,66,0
352,India,www.google.co.in,TR,B6,1,B,37,0
353,India,www.google.com,TR,B5,1,A,14,0
354,India,intercom-intercom,Intercom,B7,0,A,10,0
355,India,www.google.co.in,TR,B7,0,A,141,0
356,India,google-search,GC,B5,0,B,10,0
357,India,google-search,IN,B5,0,B,5,0
358,India,Dir,TR,B7,0,A,26,0
359,India,www.google.co.in,TR,B7,0,B,10,0
360,India,www.google.co.in,TR,B7,0,A,10,0
361,ROW,www.google.co.th,HS,B7,0,A,6,0
362,United States,www.youtube.com,TR,B7,0,A,10,0
363,ROW,coinsutra.com,TR,B4,0,A,10,0
364,United States,www.google.com,EN,B7,0,A,0,1
365,India,mail.google.com,TR,B2,0,A,14,0
366,United States,Dir,TR,B7,0,A,10,0
367,ROW,Phone,Phone,B7,0,A,5,0
368,ROW,www.google.com,GC,B7,0,A,10,0
369,India,google-search,IN,B7,0,A,11,0
370,India,Phone,Phone,B7,0,A,-18,0
371,India,Phone-crm-lead-form,UP,B7,0,A,31,0
372,ROW,blog,BS,B7,0,A,10,0
373,India,Phone,Blank,B7,0,A,1,0
374,India,blog,BS,B3,0,A,2,0
375,India,android-app,EN,B3,0,B,20,0
376,India,Dir,TR,B7,0,A,10,0
377,India,google-search,TR,B7,0,A,4,0
378,United States,iPhone-app,EN,B6,0,B,33,0
379,United States,iPhone-app,EN,B6,0,B,33,0
380,United States,www.google.com,EN,B6,0,B,10,0
381,United States,hs_email,EN,B6,0,B,10,0
382,United States,www.google.com,EN,B6,0,B,7,0
383,United States,Dir,TR,B5,1,A,7,1
384,India,google-search,EN,B1,0,A,12,0
385,United States,Dir,GC,B7,0,A,20,0
386,India,Dir,HS,B1,0,A,5,0
387,India,Dir,TR,B7,0,A,1,0
388,India,Dir,TR,B4,0,A,22,0
389,India,bing,TR,B7,0,A,5,0
390,India,Dir,EN,B6,0,C,7,0
391,India,Phone-crm-lead-form,UP,B7,0,A,37,0
392,India,blog,BS,B7,0,A,10,0
393,United States,Dir,TR,B7,0,A,28,0
394,India,Dir,TR,B1,0,A,10,0
395,India,Phone,Phone,B7,0,A,10,0
396,India,Dir,TR,B3,0,A,10,0
397,India,www.google.co.in,IN,B3,0,B,10,0
398,India,Phone,Blank,B7,0,A,49,0
399,India,Dir,IN,B1,0,A,16,0
400,India,google-search,TR,B3,0,A,10,0
401,India,www.google.co.in,TR,B4,0,A,3,0
402,India,google-search,IN,B3,0,A,9,0
403,India,Dir,TR,B2,0,A,10,0
404,India,Direct,TR,B7,0,A,93,0
405,India,google-dis,TR,B7,0,B,68,0
406,India,bing,TR,B1,0,A,2,0
407,India,Dir,HS,B7,0,A,109,0
408,ROW,blog,BS,B5,0,A,5,0
409,India,bing,HS,B1,0,A,10,0
410,India,google-search,TR,B1,0,B,6,0
411,ROW,Referral,HS,B7,0,A,128,0
412,India,google-search,HS,B7,0,B,2,0
413,India,Dir,GC,B7,0,A,10,0
414,India,intercom-intercom,Intercom,B7,0,A,10,0
415,India,hs_email,EN,B3,0,B,5,0
416,India,Custom Payment Link,Custom Link,B5,1,C,0,1
417,India,bing,IN,B5,0,A,2,0
418,India,google-search,EN,B1,0,B,10,0
419,India,google-search,HS,B1,0,A,10,0
420,India,android-app,Like,B4,0,B,10,0
421,India,android-app,Like,B4,0,B,10,0
422,India,android-app,Like,B4,0,B,10,0
423,India,android-app,Like,B4,0,B,25,0
424,India,android-app,Like,B4,0,B,20,0
425,India,android-app,Like,B4,0,B,20,0
426,India,android-app,Like,B4,0,B,20,0
427,India,android-app,Like,B4,0,B,10,0
428,India,android-app,Like,B4,0,B,22,0
429,India,blog,BS,B2,0,A,10,0
430,India,www.youtube.com,HS,B1,0,A,20,0
431,India,google-search,HS,B3,0,A,78,0
432,India,Dir,TR,B5,0,B,14,0
433,India,Dir,TR,B1,0,A,17,0
434,India,Dir,GC,B7,0,A,7,0
435,India,LinkedIN,Phone,B7,0,A,4,0
436,India,Phone,Phone,B7,0,A,5,0
437,India,Phone,Phone,B7,0,A,3,0
438,India,Dir,HS,B3,0,A,10,0
439,India,Phone,Phone,B7,0,A,95,0
440,India,Phone,Blank,B7,0,A,0,0
441,India,Phone-crm-lead-form,UP,B7,0,A,25,0
442,India,Phone,UP,B7,0,A,7,0
443,India,Phone,Phone,B7,0,A,1,0
444,India,Phone,Phone,B7,0,A,137,0
445,India,Phone,UP,B7,0,A,0,0
446,India,Phone,Phone,B7,0,A,0,0
447,India,Phone,UP,B7,0,A,7,0
448,India,Phone,Phone,B7,0,A,136,0
449,India,Phone-crm-lead-form,UP,B7,0,A,10,0
450,India,Phone,Phone,B7,0,A,45,0
451,India,Phone,Phone,B7,0,A,3,0
452,India,Phone,Phone,B7,0,A,0,0
453,India,Phone,Blank,B7,0,A,17,0
454,India,Phone,UP,B7,0,A,29,0
455,India,Phone,Phone,B7,0,A,7,0
456,India,Phone,Phone,B7,0,A,1,0
457,India,Phone,Phone,B7,0,A,0,0
458,India,Phone,UP,B7,0,A,2,0
459,India,Phone,Phone,B7,0,A,26,0
460,India,Phone,Phone,B7,0,A,0,0
461,India,Phone,Phone,B7,0,A,0,0
462,India,Phone,Phone,B7,0,A,2,0
463,India,Phone,Phone,B7,0,A,0,0
464,India,Phone,Phone,B7,0,A,0,0
465,India,Phone,Phone,B7,0,A,3,0
466,India,Phone,Phone,B7,0,A,3,0
467,India,Phone,Phone,B7,0,A,9,0
468,India,Phone-crm-lead-form,UP,B7,0,A,32,0
469,India,Phone,Phone,B7,0,A,1,0
470,India,Phone,UP,B7,0,A,6,0
471,India,Phone,Phone,B7,0,A,0,0
472,India,Phone,Phone,B7,0,A,104,0
473,India,Phone,UP,B7,0,A,0,0
474,India,Phone,Phone,B7,0,A,7,0
475,India,Phone,Phone,B7,0,A,5,0
476,India,android-app,IN,B1,0,A,10,0
477,India,Dir,TR,B7,0,A,2,0
478,ROW,blog,BS,B7,0,A,10,0
479,India,Phone,Phone,B7,0,A,2,0
480,India,Dir,TR,B7,0,A,10,0
481,India,Dir,TR,B7,0,A,114,0
482,India,Phone,Phone,B7,0,A,1,0
483,India,google-search,TR,B3,0,A,10,0
484,India,Phone,UP,B7,0,A,29,0
485,India,blog,BS,B7,0,A,14,0
486,India,intercom-intercom,Intercom,B7,0,A,10,0
487,India,intercom-intercom,Intercom,B7,0,A,10,0
488,India,Phone,Phone,B7,0,A,0,0
489,India,bing,HS,B7,0,A,4,0
490,India,Phone,Phone,B7,0,A,10,0
491,India,Dir,TR,B5,0,A,10,0
492,India,Phone,UP,B7,0,A,1,0
493,India,Phone,UP,B7,0,A,7,0
494,India,Support Team,UP,B5,0,B,37,0
495,India,Outbound Calls,UP,B3,0,B,3,0
496,India,www.youtube.com,IN,B3,0,A,2,0
497,India,blog,BS,B7,0,A,0,0
498,India,www.google.co.in,TR,B4,0,B,10,0
499,India,www.google.com,EN,B4,0,A,5,0
500,India,google-search,HS,B7,0,A,78,0
501,India,blog,BS,B7,0,A,10,0
502,India,blog,BS,B7,0,A,10,0
503,India,www.google.com,HS,B7,0,A,0,1
504,India,Dir,IN,B2,0,A,10,0
505,India,Phone,UP,B7,0,A,41,0
506,India,Dir,HS,B7,0,A,5,0
507,ROW,google-search,IN,B1,0,A,1,0
508,United States,Dir,TR,B3,0,A,15,0
509,India,www.bing.com,TR,B6,0,B,10,0
510,India,email,TR,B7,0,B,10,0
511,India,www.bing.com,TR,B6,0,B,10,0
512,India,md-welcome-mailer,TR,B7,0,B,16,0
513,India,www.bing.com,TR,B6,0,B,10,0
514,India,Custom Payment Link,TR,B7,0,B,10,0
515,India,Phone,Phone,B7,0,A,11,0
516,India,Dir,TR,B7,1,B,1,1
517,India,md-welcome-mailer,TR,B7,0,B,10,0
518,India,email,TR,B7,0,B,10,0
519,India,md-welcome-mailer,TR,B7,0,B,10,0
520,India,android-app,EN,B6,0,B,5,0
521,India,android-app,EN,B6,0,B,10,0
522,India,google-search,GC,B7,1,A,1,1
523,India,google-search,HS,B7,0,B,10,0
524,India,intercom-intercom,Intercom,B7,0,B,10,0
525,India,android-app,EN,B6,0,B,24,0
526,ROW,www.google.com,GC,B7,0,A,2,0
527,India,www.google.co.in,EN,B6,0,B,0,1
528,India,www.google.co.in,TR,B7,0,A,10,0
529,ROW,rakuten,HS,B1,0,A,10,0
530,India,www.google.co.in,HS,B7,0,A,112,0
531,India,Dir,TR,B1,0,A,10,0
532,ROW,android-app,Like,B7,0,B,18,0
533,ROW,hs_email,TR,B5,0,A,24,1
534,ROW,android-app,Like,B7,0,B,10,0
535,ROW,android-app,Like,B6,0,B,5,0
536,ROW,outlook.live.com,TR,B6,0,B,10,0
537,India,Custom Payment Link,Custom Link,B3,1,C,0,1
538,India,google-search,HS,B2,1,C,1,1
539,ROW,www.youtube.com,IN,B7,0,A,3,0
540,ROW,www.youtube.com,TR,B7,0,A,10,0
541,India,blog,BS,B7,0,A,9,0
542,India,Admin-PayViaInvoice,UP,B5,0,C,0,1
543,United States,www.google.com,IN,B4,0,C,3,1
544,India,Dir,TR,B7,0,A,8,0
545,ROW,www.edlibre.com,TR,B7,0,A,10,0
546,India,Direct,EN,B5,0,A,37,0
547,India,Dir,GC,B7,0,A,10,0
548,India,quora-intercom,Intercom,B7,0,B,10,0
549,India,blog,BS,B7,0,A,10,0
550,United States,www.youtube.com,TR,B5,0,A,4,0
551,United States,www.youtube.com,TR,B5,0,B,4,0
552,United States,www.youtube.com,TR,B5,0,B,4,0
553,India,Dir,TR,B6,0,B,23,0
554,India,Dir,TR,B4,0,A,13,0
555,India,Phone,UP,B7,0,A,9,0
556,India,www.google.co.in,TR,B1,0,A,9,0
557,ROW,google-search,HS,B7,0,A,3,0
558,India,Dir,IN,B1,1,A,4,0
559,ROW,Dir,HS,B4,0,A,16,0
560,United States,google-search,TR,B1,0,A,3,0
561,ROW,email,EN,B7,0,B,10,0
562,United States,iPhone-app,TR,B6,0,C,10,0
563,United States,www.google.com,TR,B6,0,C,3,0
564,United States,www.google.com,TR,B6,0,C,10,0
565,United States,iPhone-app,TR,B6,0,C,10,0
566,India,www.quora.com,IN,B7,0,A,17,0
567,India,www.google.com,EN,B7,0,A,9,0
568,India,www.youtube.com,TR,B2,0,A,14,0
569,ROW,android-app,IN,B6,1,C,11,1
570,ROW,Phone,Phone,B7,1,C,6,1
571,United States,email,UP,B7,0,C,127,0
572,ROW,app,HS,B7,0,A,11,0
573,India,Phone,Phone,B7,0,A,42,0
574,India,Dir,IN,B1,0,A,33,0
575,India,blog,BS,B7,0,A,12,0
576,India,Custom Payment Link,Phone,B7,1,A,0,1
577,India,email,HS,B2,0,A,10,0
578,India,blog,BS,B7,0,B,10,0
579,India,intercom-intercom,Intercom,B7,0,A,10,0
580,India,blog,BS,B7,0,A,11,0
581,India,www.google.co.in,GC,B7,0,B,10,0
582,India,Dir,TR,B6,0,B,10,0
583,India,google-search,TR,B6,0,B,10,0
584,India,google-search,TR,B6,0,B,10,0
585,India,www.google.co.in,TR,B6,0,B,10,0
586,India,www.google.co.in,TR,B6,0,B,10,0
587,India,www.google.co.in,GC,B7,0,B,10,0
